Scenario Set,Scenario Ind,lx,ly,var,Pi1,Pi2,Pi3,Pi1 Target,Pi2 Target,Pi3 Target
Interpolating Grid,68,0.01,0.05,3.0,0.66579591762,0.96868191984,0.021166464386125,0.67,,0.033
Interpolating Grid,69,0.0243700649589,0.0541515350342,1.42177009583,0.559624134242,0.498932637229,0.03173068399975,0.67,,0.033
Interpolating Grid,70,0.0298965163925,0.470862702093,5.08506798032,0.645370440676,1.46563600386,0.04625156452325,0.67,,0.033
Interpolating Grid,71,0.0447339477761,0.354082521074,4.72340377414,0.672325985323,1.18938030881,0.060239687228,0.67,,0.06
Interpolating Grid,72,0.063,0.31,4.0,0.66582890855,0.890684113555,0.07353649140575,0.67,,0.087
Interpolating Grid,73,0.0859453843136,0.400392631944,3.79214616185,0.639714667293,0.697310906496,0.086317486692,0.67,,0.087
Interpolating Grid,74,0.162030215841,0.18853815645,1.99274387956,0.699413805105,0.428437442829,0.10077380288225,0.67,,0.087
Interpolating Grid,75,0.024172395115,0.130540729391,4.07746999808,0.780155837862,1.3532086977,0.03545746208475,0.67,,0.033
Interpolating Grid,76,0.088839173317,0.0940170288086,2.25454711914,0.823001300415,0.525499958096,0.06019694944025,0.67,,0.06
Interpolating Grid,77,0.0939431470347,0.305015278592,5.50237921606,0.83244427799,0.892147028505,0.08659225930425,0.67,,0.087
Interpolating Grid,78,0.0441342592239,0.00270843505859,3.31840515137,1.08580840154,0.273164309855,0.019402026372475,1.0,,0.033
Interpolating Grid,79,0.0471159107983,0.0374610349536,2.79605165124,1.02865991503,0.588678935258,0.03334032910225,1.0,,0.033
Interpolating Grid,80,0.0378471033814,0.429779088757,11.2215265527,1.03317715758,2.4167664483,0.04718974593325,1.0,,0.06
Interpolating Grid,81,0.0857977253036,0.0772865049075,3.02445388958,1.00578727721,0.602871875303,0.05752353942475,1.0,,0.06
Interpolating Grid,82,0.10369220376,0.180644035339,5.22473907471,0.992391838024,0.836011513226,0.0734045063405,1.0,,0.06
Interpolating Grid,83,0.109619051218,0.382635116577,9.32235717773,1.02325339139,1.03498374514,0.08677033029275,1.0,,0.087
Interpolating Grid,84,0.133059208477,0.375841241097,8.23008954235,0.993642597345,0.864059554986,0.10084334393475,1.0,,0.087
Interpolating Grid,85,0.0533229410648,0.0398464202881,3.85652160645,1.19552363373,0.674581553504,0.034697469349,1.33,,0.033
Interpolating Grid,86,0.103414386511,0.0882377624512,4.4375,1.17785268956,0.690291806244,0.06025844124775,1.33,,0.06
Interpolating Grid,87,0.130311489105,0.250431060791,10.3953552246,1.18204497056,1.00999634216,0.08741127933875,1.33,,0.087
Interpolating Grid,88,0.0328630805016,0.0143709480762,3.62738037109,1.21848302534,0.521464075018,0.02012455104315,1.33,,0.033
Interpolating Grid,89,0.0845304890536,0.00257166475058,5.36783879995,1.43286882991,0.23924777335,0.033398441685,1.33,,0.033
Interpolating Grid,90,0.0685999393463,0.0588264465332,5.71757507324,1.38022796202,0.849146961892,0.045712854971,1.33,,0.033
Interpolating Grid,91,0.109292283363,0.0791726075113,5.5262821503,1.33952716645,0.720390126777,0.06185317873925,1.33,,0.06
Interpolating Grid,92,0.147033601999,0.0872414112091,5.2901058197,1.33244427994,0.618441201806,0.07497580931375,1.33,,0.087
Interpolating Grid,93,0.136722326279,0.228765487671,12.1152305603,1.33529085471,1.07300963368,0.087187097478,1.33,,0.087
Interpolating Grid,94,0.183530310169,0.0901373624802,4.82696121931,1.30966191803,0.530857242717,0.086550419233,1.33,,0.087
Interpolating Grid,95,0.113182067871,0.0612545013428,6.33354949951,1.51225438894,0.678118828751,0.058916795742,1.33,,0.06
Interpolating Grid,96,0.172645225283,0.149458949918,11.3471253339,1.5073484277,0.844196697427,0.085286655166,1.33,,0.087
